sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
66,7434396667123600647,https://www.tiktok.com/@lancomethailand/video/7434396667123600647,🚀ใหม่! GÉNIFIQUE ULTIMATE SERUM ปรับสูตรใหม่ครั้งใหญ่ในรอบ 15 ปี ✨ปฏิวัติศาสตร์แห่งการฟื้นฟูผิวเก่งข...,https://m.tiktok.com/v/7434396667123600647.html?_d=0&comment_author_id=7139825372401107969&preview_pb=0&share_comment_id=7488546152230585108&share_item_id=7434396667123600647&sharer_language=en&source=h5_m&u_code=0,#TurnOffผิวAgedกับUltimateSerum|#GenifiqueUltimate|#BetaGlucans|#LancomeGenifique|#LancomeThailand|#Skintok|#tiktokป้ายยา|#tiktokบิวตี้|#skincareroutine,26,nopphaamradee,nopphaamradee,เซ่รั่มขวดละเท่าไรค่,2025-04-02T03:04:02,0,1
67,7434801642073099528,https://www.tiktok.com/@lancomethailand/video/7434801642073099528,,,,0,,,,,0,0
68,7434852432284224776,https://www.tiktok.com/@lancomethailand/video/7434852432284224776,"✨สิ้นสุดการรอคอยกับ This or That? Part 2  ตอบคำถามทุกปัญหาสกินแคร์กับ Dr.Annie Black, Lancôme Intern...",https://m.tiktok.com/v/7434852432284224776.html?_d=0&comment_author_id=6867367167114331138&preview_pb=0&share_comment_id=7439745312824083218&share_item_id=7434852432284224776&sharer_language=en&source=h5_m&u_code=0,#skinscienceclub|#lancome|#lancomethailand|#drannieblack|#skincare|#thisorthat|#exclusivecontent,1,thnizarkyaw,Chan Hsu Shwe,😂,2024-11-21T15:51:33,0,0
69,7435109290983083271,https://www.tiktok.com/@lancomethailand/video/7435109290983083271,,,,0,,,,,0,0
70,7435480694429650184,https://www.tiktok.com/@lancomethailand/video/7435480694429650184,,,,0,,,,,0,0
71,7436357168812608775,https://www.tiktok.com/@lancomethailand/video/7436357168812608775,,,,0,,,,,0,0
72,7436595724290247944,https://www.tiktok.com/@lancomethailand/video/7436595724290247944,,,,0,,,,,0,0
73,7436597535386455303,https://www.tiktok.com/@lancomethailand/video/7436597535386455303,,,,0,,,,,0,0
74,7437504159324146962,https://www.tiktok.com/@lancomethailand/video/7437504159324146962,,,,1,dy25hf18vqh5,พี่เพลง เพลงเพราะโดนใจ🎵🎤,🥰,2024-12-11T08:03:38,0,0
75,7437513843426839815,https://www.tiktok.com/@lancomethailand/video/7437513843426839815,,,,0,,,,,0,0
76,7438101786340150536,https://www.tiktok.com/@lancomethailand/video/7438101786340150536,,,,0,,,,,0,0
77,7438873283564489992,https://www.tiktok.com/@lancomethailand/video/7438873283564489992,,,,0,,,,,0,0
78,7439313127008750856,https://www.tiktok.com/@lancomethailand/video/7439313127008750856,,,,0,,,,,0,0
79,7439729300892339474,https://www.tiktok.com/@lancomethailand/video/7439729300892339474,,,,0,,,,,0,0
80,7440065193356512530,https://www.tiktok.com/@lancomethailand/video/7440065193356512530,,,,2,pobploy5,⋆𐙚₊˚⊹♡,ok i will buy it 🥰,2024-11-22T14:53:23,0,0
81,7440331458113228050,https://www.tiktok.com/@lancomethailand/video/7440331458113228050,,,,0,,,,,0,0
82,7440677707450551560,https://www.tiktok.com/@lancomethailand/video/7440677707450551560,,,,0,,,,,0,0
83,7441051801962564872,https://www.tiktok.com/@lancomethailand/video/7441051801962564872,,,,0,,,,,0,0
84,7441054080543329544,https://www.tiktok.com/@lancomethailand/video/7441054080543329544,We are excited to welcome @MILLI as our newest Thailand Lancôme Brand Ambassador 💪🏽✨💖​ #LancomeThail...,https://m.tiktok.com/v/7441054080543329544.html?_d=0&comment_author_id=7141384312759583770&preview_pb=0&share_comment_id=7441798776207278855&share_item_id=7441054080543329544&sharer_language=en&source=h5_m&u_code=0,#LancomeThailand|#LancomexMILLI|#MILLI,15,user5540463540049,oui ja,คุณค่าที่คู่ควร🥰,2024-11-27T04:40:08,0,0
85,7441186179271216391,https://www.tiktok.com/@lancomethailand/video/7441186179271216391,,,,1,tikkylands,Tick,🥰,2025-07-31T15:33:35,0,0
86,7441454685980019976,https://www.tiktok.com/@lancomethailand/video/7441454685980019976,,,,0,,,,,0,0
87,7441815019076996373,https://www.tiktok.com/@lancomethailand/video/7441815019076996373,,,,1,ononuma865,onnnnnnn,น้องสวยมากๆๆ🥰,2024-12-10T04:39:19,0,0
88,7441816461292702996,https://www.tiktok.com/@lancomethailand/video/7441816461292702996,,,,0,,,,,0,0
89,7442583928797482258,https://www.tiktok.com/@lancomethailand/video/7442583928797482258,,,,1,toey24242,เตยเองจ้ะ,😳😳😳,2024-12-08T17:53:19,0,0
90,7442900673164807432,https://www.tiktok.com/@lancomethailand/video/7442900673164807432,,,,0,,,,,0,0
91,7443273076453674248,https://www.tiktok.com/@lancomethailand/video/7443273076453674248,,,,0,,,,,0,0
92,7444402226568695047,https://www.tiktok.com/@lancomethailand/video/7444402226568695047,,,,0,,,,,0,0
93,7444525323758226706,https://www.tiktok.com/@lancomethailand/video/7444525323758226706,,,,1,patcrw,Patcha.Ampr,หอมมากๆค่ะกลิ่นนี้ ใช้ทุกวันเลย,2025-02-10T11:17:12,0,0
94,7444896565094911250,https://www.tiktok.com/@lancomethailand/video/7444896565094911250,,,,0,,,,,0,0
95,7445499093251525896,https://www.tiktok.com/@lancomethailand/video/7445499093251525896,,,,0,,,,,0,0
96,7445870493586001170,https://www.tiktok.com/@lancomethailand/video/7445870493586001170,,,,1,ut.thuy08,Út Thúy,giá sao shop,2025-01-06T10:16:31,0,0
97,7446385589206748423,https://www.tiktok.com/@lancomethailand/video/7446385589206748423,,,,3,ploy.play,พลอย98,ใช้อยู่ค่ะ,2025-04-21T07:06:50,0,1
98,7446748860933754130,https://www.tiktok.com/@lancomethailand/video/7446748860933754130,,,,1,lift_ratchaneekorn,Lift_ratchaneekorn,😁😁😁,2024-12-11T07:59:08,0,0
99,7446783091491753223,https://www.tiktok.com/@lancomethailand/video/7446783091491753223,,,,0,,,,,0,0
