sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
64,7445260807727844615,https://www.tiktok.com/@lancome_vietnam/video/7445260807727844615,,,,0,,,,,0,0
65,7445261539969486098,https://www.tiktok.com/@lancome_vietnam/video/7445261539969486098,,,,0,,,,,0,0
66,7445265082642205970,https://www.tiktok.com/@lancome_vietnam/video/7445265082642205970,,,,0,,,,,0,0
67,7445266152764214536,https://www.tiktok.com/@lancome_vietnam/video/7445266152764214536,,,,0,,,,,0,0
68,7445266787077311751,https://www.tiktok.com/@lancome_vietnam/video/7445266787077311751,"Thỏi son đầy quyền năng có công nghệ độc quyền từ Lancôme, L'Absolu Absolu Rouge nay đã có phiên bản...",https://m.tiktok.com/v/7445266787077311751.html?_d=0&comment_author_id=6984003390003676187&preview_pb=0&share_comment_id=7483791690309436168&share_item_id=7445266787077311751&sharer_language=en&source=h5_m&u_code=0,#LancomeVietnam|#LAbsolueRouge|#Makeup,4,nhungly4768,nhungly4768,Xin giá kem dưỡng,2025-03-20T07:34:16,0,0
69,7448491847632145682,https://www.tiktok.com/@lancome_vietnam/video/7448491847632145682,,,,0,,,,,0,0
70,7448494820173155591,https://www.tiktok.com/@lancome_vietnam/video/7448494820173155591,Đó chính là 3 từ mô tả về nước hoa Lavie Est Belle L’Elixir của Lancôme Đại diện năng lượng của cô g...,https://m.tiktok.com/v/7448494820173155591.html?_d=0&comment_author_id=6814458227850331141&preview_pb=0&share_comment_id=7459246852488577798&share_item_id=7448494820173155591&sharer_language=en&source=h5_m&u_code=0,#LancomeVietnam|#LElixir|#Fragrance,1,cicerascampos,Cicera santo campos.,ci,2025-01-13T05:08:09,0,0
71,7448502369073253640,https://www.tiktok.com/@lancome_vietnam/video/7448502369073253640,[BIỂU TƯỢNG MỚI] NƯỚC HOA LANCÔME LAVIE EST BELLE L’ELIXIR  Khám phá biểu tượng mới của La Vie Est B...,https://m.tiktok.com/v/7448502369073253640.html?_d=0&comment_author_id=7438612182458205191&preview_pb=0&share_comment_id=7448953735852196626&share_item_id=7448502369073253640&sharer_language=en&source=h5_m&u_code=0,#LancomeVietnam|#LElixir|#Fragrance,3,ngocanhkg168,ngocanh,Xịn xò,2024-12-16T11:24:59,0,0
72,7450787130726452487,https://www.tiktok.com/@lancome_vietnam/video/7450787130726452487,,,,0,,,,,0,0
73,7450790646278933778,https://www.tiktok.com/@lancome_vietnam/video/7450790646278933778,Nước hoa Idôle là chai nước hoa không thể thiếu trong bộ sưu tập của các cô gái vì phù hợp để sử dụn...,https://m.tiktok.com/v/7450790646278933778.html?_d=0&comment_author_id=7487115388984181778&preview_pb=0&share_comment_id=7516136100881613576&share_item_id=7450790646278933778&sharer_language=en&source=h5_m&u_code=0,#LancomeVietnam|#Idole|#Fragrance|#idole25ml,5,bich.nhi.van,Bich Nhi Van,Bạn làm video cuốn thật sự luôn á! 🎬,2025-06-15T12:26:53,0,0
74,7450802062088097032,https://www.tiktok.com/@lancome_vietnam/video/7450802062088097032,"Nước hoa thế hệ mới dành cho cô gái trẻ với phong thái tự tin, bứt phá, đầy nhiệt huyết  ⭐Sự hòa quy...",https://m.tiktok.com/v/7450802062088097032.html?_d=0&comment_author_id=7404953802351412230&preview_pb=0&share_comment_id=7480487703541908232&share_item_id=7450802062088097032&sharer_language=en&source=h5_m&u_code=0,#LancomeVietnam|#Idole|#Fragrance|#Idole25ml,5,hanhle73032680460,Võ Thien Liên,hi,2025-03-11T09:53:03,0,0
75,7451704605186051336,https://www.tiktok.com/@lancome_vietnam/video/7451704605186051336,Kem dưỡng Rénergie H.P.N. 300-peptide: Tiên phong trong khoa học trẻ hoá làn da - “Một Bước Trước Th...,https://m.tiktok.com/v/7451704605186051336.html?_d=0&comment_author_id=7446604246953149448&preview_pb=0&share_comment_id=7452221369293619975&share_item_id=7451704605186051336&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#skincare|#kemduong300peptide,5,trikicualanda,Tri kỷ của làn da,siêu mê,2024-12-25T06:45:06,0,0
