sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
44,7423593609280245000,https://www.tiktok.com/@lancomemalaysia/video/7423593609280245000,,,,0,,,,,0,0
45,7423607051403676946,https://www.tiktok.com/@lancomemalaysia/video/7423607051403676946,,,,0,,,,,0,0
46,7423609745057041672,https://www.tiktok.com/@lancomemalaysia/video/7423609745057041672,"A little mess won't hurt, especially if you understand the assignment. 😉 It's your turn now—show us ...",https://m.tiktok.com/v/7423609745057041672.html?_d=0&comment_author_id=7222796461452510209&preview_pb=0&share_comment_id=7424753612478415634&share_item_id=7423609745057041672&sharer_language=en&source=h5_m&u_code=0,#MessWithLancome!|#Lancome|#LancomeMY|#MessWithLancome|#LancomeMakeUp|#MakeUp|#MakeUpTok|#EmmaChamberlain,1,user893400731,razzak,❤️❤️❤️❤️,2024-10-12T06:16:09,0,0
47,7424077574302747922,https://www.tiktok.com/@lancomemalaysia/video/7424077574302747922,,,,8,wnacamehome261,wnacamehome261,"Best weh pakai, so smooothhh",2024-11-10T15:28:21,0,1
48,7424370475263970568,https://www.tiktok.com/@lancomemalaysia/video/7424370475263970568,The lip care revolution is here with our Lip Idôle Squalane-12 Butterglow. 💄 Made of 12% Squalane an...,https://m.tiktok.com/v/7424370475263970568.html?_d=0&comment_author_id=7111171163716895750&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227424370475263970568%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252Ff30e574315dd409aad58d76179ce82e4_1728620965~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253Dc41fa309%2526x-expires%253D1787763600%2526x-signature%253DjlpWu3kYtOZ6qnL0QpBHmCjZcNQ%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730192592722560244%22%2C%22placeholder_video_id%22%3A%227424370475263970568%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7442616569496453905&share_item_id=7424370475263970568&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeMakeUp|#LipIdole|#MakeUp|#MakeUpTok|#EmmaChamberlain,3,afrizanca,Afrizan,😁,2024-11-29T09:33:32,0,0
49,7424418145433046280,https://www.tiktok.com/@lancomemalaysia/video/7424418145433046280,,,,0,,,,,0,0
50,7424419019492543752,https://www.tiktok.com/@lancomemalaysia/video/7424419019492543752,,,,0,,,,,0,0
51,7424420747709402376,https://www.tiktok.com/@lancomemalaysia/video/7424420747709402376,,,,1,cahmanis_1,Cah Manis,🥰🥰🥰,2024-10-17T05:04:47,0,0
52,7426339239484329234,https://www.tiktok.com/@lancomemalaysia/video/7426339239484329234,,,,0,,,,,0,0
53,7426785599585176839,https://www.tiktok.com/@lancomemalaysia/video/7426785599585176839,,,,1,emmawoorthy,Emma,I want all 7 😍,2024-10-18T15:06:45,0,1
