sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
107,7478736343644802326,https://www.tiktok.com/@lancome.official/video/7478736343644802326,The last touch-ups before Le Grand Dîner du Louvre. Lancôme France Ambassador #VirginieEfira shines ...,https://m.tiktok.com/v/7478736343644802326.html?_d=0&comment_author_id=7039425024454099969&preview_pb=0&share_comment_id=7478857688585503534&share_item_id=7478736343644802326&sharer_language=en&source=h5_m&u_code=0,#VirginieEfira|#Lancome|#LancomexVirginie|#VirginieEfira|#Makeup|#Beauty|#GrandDinerLouvre|#JuicyTubes|#LipGloss|#Makeuptok|#Makeuptiktok|#Makeuplook|#BTS|#GRWM|#LashIdole|#Mascara,29,sarahjajjawi,sarahjajjawi,Loveee😍,2025-03-07T00:27:50,0,0
108,7479131939438464278,https://www.tiktok.com/@lancome.official/video/7479131939438464278,"A new limited-edition UGC is coming up on @Roblox, with a Juicy Tubes for a key chain 👛 Play startin...",https://m.tiktok.com/v/7479131939438464278.html?_d=0&comment_author_id=6934814509509723141&preview_pb=0&share_comment_id=7479145576534180663&share_item_id=7479131939438464278&sharer_language=en&source=h5_m&u_code=0,#Lancome|#IdoleHouse|#Roblox|#RobloxTrends|#Gamers|#Gaming|#GamersofTikTok|#LancomexRoblox|#LancomeIdole|#JoinTheIdoles,51,damo17890,elit star,puede hacer uno de Olivia Rodrigo 💜,2025-03-07T19:04:56,0,0
109,7479133653088406806,https://www.tiktok.com/@lancome.official/video/7479133653088406806,"Idôle House made its way to Milan🇮🇹 Join us tomorrow, March 8th, from 10AM till 8PM to discover this...",https://m.tiktok.com/v/7479133653088406806.html?_d=0&comment_author_id=7009989467524072453&preview_pb=0&share_comment_id=7479135884520997654&share_item_id=7479133653088406806&sharer_language=en&source=h5_m&u_code=0,#Lancome|#IdoleHouse|#LancomeIT|#Italy|#Milan|#Popup|#Makeup|#FlutterExtension|#Mascara|#NewLaunch|#Event|#Beauty,108,livbedumb_livie,✧Liv_fanpage💜🤍,NEVER SKIP A OLIVIA RODRIGO AND LANCOME ADDD💜✨(CAN YOU TELL OLIVIA I SAY HI),2025-03-07T18:27:11,0,0
110,7479468494535413025,https://www.tiktok.com/@lancome.official/video/7479468494535413025,"Lancôme presents the #sisterhoodrelay. From one woman to another, Lancôme Ambassadors share the best...",https://m.tiktok.com/v/7479468494535413025.html?_d=0&comment_author_id=7331008436597654560&preview_pb=0&share_comment_id=7479496109791478550&share_item_id=7479468494535413025&sharer_language=en&source=h5_m&u_code=0,#sisterhoodrelay.|#InternationalWomensDay!|#IsabellaRossellini|#JoySunday|#NiNi|#HazalKaya|#GaiaGozzi|#VirginieEfira|#NazanEckes|#MILLI|#OksanaMasters|#NicoParker,33,carlotta4751,carlotta,Olivia ?,2025-03-08T17:45:07,0,0
111,7479802065980493078,https://www.tiktok.com/@lancome.official/video/7479802065980493078,No more extensions needed with the Lash Flutter Extension mascara 👀  #Lancome #LancomeMakeup #Flutte...,https://m.tiktok.com/v/7479802065980493078.html?_d=0&comment_author_id=7471369257810920481&preview_pb=0&share_comment_id=7479827965804577559&share_item_id=7479802065980493078&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMakeup|#FlutterExtension|#Mascara|#NewLaunch|#LongLashes|#LashGoals|#Makeup|#Makeuptok|#XXL|#BeautyTok|#Satisfying|#Essentials|#LashTrend,26,i.mi_young,i.mi_young,Lancome where are the samples attt,2025-03-09T15:12:51,0,0
112,7480131316659260694,https://www.tiktok.com/@lancome.official/video/7480131316659260694,The time that you realize you don’t need fake lashes anymore...With the Lash Idôle Flutter Extension...,https://m.tiktok.com/v/7480131316659260694.html?_d=0&comment_author_id=7385521333012431904&preview_pb=0&share_comment_id=7481273430755509014&share_item_id=7480131316659260694&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMakeup|#FlutterExtension|#Mascara|#NewLaunch|#LongLashes|#LashGoals|#Makeup|#Makeuptok|#XXL|#BeautyTok|#Satisfying|#Essentials|#LashTrend,37,toby.wakey,Toby,Just saw your advert on the tv,2025-03-13T12:42:01,0,0
113,7481698722779532567,https://www.tiktok.com/@lancome.official/video/7481698722779532567,When your mascara has places to be and lashes to lift. Lash Idôle Mascara will be on sale at @Ulta B...,https://m.tiktok.com/v/7481698722779532567.html?_d=0&comment_author_id=6668808624678846470&preview_pb=0&share_comment_id=7481707899950809899&share_item_id=7481698722779532567&sharer_language=en&source=h5_m&u_code=0,#21DaysofBeauty|#Lancome|#UltaBeauty|#LashIdole|#Mascara|#Makeup|#Beauty,86,ultabeauty,Ulta Beauty,getting enough to last us the rest of this year!,2025-03-14T16:48:19,0,2
114,7481727927508274454,https://www.tiktok.com/@lancome.official/video/7481727927508274454,"New on @Roblox!💕 A new limited-edition Lancôme UGC is coming soon to Roblox, featuring beautiful pin...",https://m.tiktok.com/v/7481727927508274454.html?_d=0&comment_author_id=7425761251810739206&preview_pb=0&share_comment_id=7482358412920488710&share_item_id=7481727927508274454&sharer_language=en&source=h5_m&u_code=0,#Lancome|#IdoleHouse|#Roblox|#RobloxTrends|#Gamers|#Gaming|#GamersofTikTok|#LancomexRoblox|#LancomeIdole|#JoinTheIdoles,125,elcompa_sergio123,el-compa-sergio300,lo mejor del juego es la pasarela la amo ✨❤,2025-03-16T10:52:43,0,1
115,7481974064978955542,https://www.tiktok.com/@lancome.official/video/7481974064978955542,Some well-deserved rest after all that hard work 🫶 #Lancome #Genifique #GenifiqueUltimate #Serum #Sk...,https://m.tiktok.com/v/7481974064978955542.html?_d=0&comment_author_id=7126969584884188165&preview_pb=0&share_comment_id=7500528986360726327&share_item_id=7481974064978955542&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Genifique|#GenifiqueUltimate|#Serum|#Skincare|#Skincaretiktok|#Skintok|#Relax|#Massage|#Glow|#GlowingSkin|#Spa,51,itz_a.livie,🏎️Bia (LN4 version)🏎️💨,Pls sent me a liv collab😭😭,2025-05-04T11:04:01,0,0
116,7482345213780970774,https://www.tiktok.com/@lancome.official/video/7482345213780970774,"To sum it up: cute robots, beautiful scenery, amazing guests, plenty of rest, and the iconic Génifiq...",https://m.tiktok.com/v/7482345213780970774.html?_d=0&comment_author_id=6812242167873979397&preview_pb=0&share_comment_id=7482402084782064426&share_item_id=7482345213780970774&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Genifique|#GenifiqueUltimate|#Serum|#Skincare|#Skincaretiktok|#Skintok|#Relax|#Retreat|#Massage|#Glow|#GlowingSkin|#Spa,58,l.fronczak,user2111174195819,Where is it.?,2025-03-16T13:42:15,0,0
117,7482810667293052182,https://www.tiktok.com/@lancome.official/video/7482810667293052182,,,,43,arod.princessvibes,Amanda Mendoza,Wow looks so smooth and clean 🔥,2025-03-25T05:18:31,0,0
