Video ID,Original URL,Description,Total Comments,Tags
"7530941000164904214","https://www.tiktok.com/@lancome.official/video/7530941000164904214","Oof it was getting hot and juicy behind the scenes with @danielle! ✨ #MESSWITHLANCOME #BTMess #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS ","14","#MESSWITHLANCOME #BTMess #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS"
"7530650316115660054","https://www.tiktok.com/@lancome.official/video/7530650316115660054","Umm excuse me sir, no one’s allowed to glow that hard on a hot summer day 🔥 @ltorresbeauty captured backstage at the #MESSWITHLANCOME shoot. #BTMess #Lancome #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #PinkOhLaLa #SummerMakeup #SummerBeauty #Glow #Glossy #BTS ","27","#MESSWITHLANCOME #BTMess #Lancome #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #PinkOhLaLa #SummerMakeup #SummerBeauty #Glow #Glossy #BTS"
"7530197518060178710","https://www.tiktok.com/@lancome.official/video/7530197518060178710","It’s juicy, it’s plush, it’s THE lip product of the summer. It’s Lip Idôle JuicyTreat™!💖 #Lancome #JuicyTreat #Makeup #LipIdole #LipGloss #LipOil #LipSerum #GlossyLip #MustHave #Beauty #Makeuptok #LipCombo #SummerMakeup #SummerLook ","40","#Lancome #JuicyTreat #Makeup #LipIdole #LipGloss #LipOil #LipSerum #GlossyLip #MustHave #Beauty #Makeuptok #LipCombo #SummerMakeup #SummerLook"
"7529815046617140502","https://www.tiktok.com/@lancome.official/video/7529815046617140502","JuicyTreat swatches 💋 #Lancome #Juicytreat #Juicy #Gloss #Lips #LipGloss #Shine #Sparkle #Hydration #Satisfying #Shades #Swatch ","58","#Lancome #Juicytreat #Juicy #Gloss #Lips #LipGloss #Shine #Sparkle #Hydration #Satisfying #Shades #Swatch"
"7529086734684949782","https://www.tiktok.com/@lancome.official/video/7529086734684949782","","15",""
"7528718006298430742","https://www.tiktok.com/@lancome.official/video/7528718006298430742","Ladies and gentlemen, this is what summer looks are made of!✨ #MESSWITHLANCOME #BTMess #Lancome #IsabellaRossellini #TimeToGetMessy           ","26","#MESSWITHLANCOME #BTMess #Lancome #IsabellaRossellini #TimeToGetMessy"
"7528061463647276310","https://www.tiktok.com/@lancome.official/video/7528061463647276310","@Loreto ‘s summer favorites: 🍦, 🌊, and a the tan colors of a Berry Bisou look! #MESSWITHLANCOME #BTMess #Lancome #LoretoPeralta #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS","31","#MESSWITHLANCOME #BTMess #Lancome #LoretoPeralta #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS"
"7528000343469231382","https://www.tiktok.com/@lancome.official/video/7528000343469231382","@danielle as the next movie star? 🤭✨ #MESSWITHLANCOME #BTMess #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS","9","#MESSWITHLANCOME #BTMess #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS"
"7527960342874443030","https://www.tiktok.com/@lancome.official/video/7527960342874443030","@Loreto and @ltorresbeauty ‘s summer plan is to simply #MESSWITHLANCOME! #BTMess #Lancome #LoretoPeralta #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #PinkOhLaLa #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS","11","#MESSWITHLANCOME! #BTMess #Lancome #LoretoPeralta #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #PinkOhLaLa #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS"
"7527603753873198358","https://www.tiktok.com/@lancome.official/video/7527603753873198358","Ôh La La💕 Nothing beats a juicy Lancôme summer. Stealing the show: the iconic Lip Idôle JuicyTreat and Juicy Tubes combo! #Lancome #JuicyTubes #LipIdole #JuicyTreat #Makeup #LipGloss #LipOil #Gloss #GlossyLip #Yummy #Juicy #Summer #SummerLook ","38","#Lancome #JuicyTubes #LipIdole #JuicyTreat #Makeup #LipGloss #LipOil #Gloss #GlossyLip #Yummy #Juicy #Summer #SummerLook"
"7527353186227653911","https://www.tiktok.com/@lancome.official/video/7527353186227653911","@danielle ATE that photoshoot, don’t you think?🔥 #MESSWITHLANCOME #BTMess #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS","15","#MESSWITHLANCOME #BTMess #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS"
"7527340188301856022","https://www.tiktok.com/@lancome.official/video/7527340188301856022","GOLDEN HOUR on @danielle ✨ One golden iced latte, coming right up! #MESSWITHLANCOME MUA: @daniellemarcan Hair: Julien Gonzalez Galvez Styling: @steven.doan3 Nails: @nailedbyines  COMPLEXION Skin Idôle 3-Serum Supertint Skin Tint Teint Idole Ultra Wear Care & Glow Serum Concealer Blush Subtil in 700 Coral Clash Teint Idole Ultra Wear Skin Refining Setting Powder Teint Idole Ultra Wear C.E. Skin Transforming Bronzer Teint Idole Ultra Wear C.E. Skin Transforming Highlighter EYES Idôle Tint Liquid Eye-Blusher in 01 Sunburst, 11 Rich Espresso Lash Idôle Flutter Extension Mascara LIPS Lip Idôle Juicy Treat in 10 Pink Oh La La #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss","14","#MESSWITHLANCOME #Lancome #DanielleMarcan #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #CafeCrush #IcedLatte #CoffeeMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss"
"7526998737130982678","https://www.tiktok.com/@lancome.official/video/7526998737130982678","How the tables have turned🤭 @ltorresbeauty sits down in @Loreto ‘s chair for her makeup masterclass! #MESSWITHLANCOME #BTSMess #Lancome #LoretoPeralta #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #PinkOhLaLa #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS","17","#MESSWITHLANCOME #BTSMess #Lancome #LoretoPeralta #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #PinkOhLaLa #CoffeeMakeup #SummerMakeup #SummerBeauty #Gloss #Glossy #BTS"
"7526982461717253398","https://www.tiktok.com/@lancome.official/video/7526982461717253398","BERRY BISOU on @Loreto & PINK OH LA LA on @ltorresbeauty ✨ Delicious makeup looks in glossy pink shades! #MESSWITHLANCOME MUA: @manoncana  Hair: Julien Gonzalez Galvez Styling: @Steven Doan Style  Nails: @n e s s   LORETO’S LOOK COMPLEXION  Teint Idole Untra Wear Foundation Teint Idole Ultra Wear All-Over Concealer Teint Idole Ultra Wear C.E. Skin Transforming Bronzer Teint Idole Ultra Wear C.E. Skin Transforming Highlighter Blush Subtil in 1000 Berry Bisou EYES Lash Idôle Flutter Extension Mascara Hypnôse Eyeshadow Palette in 09 Fraîcheur Rosée LIPS Lip Idôle Juicy Treat In 60 Million Dollar Berry  Lip Idôle Lip Shaper In 60 Million Dollar Berry, 53 The Tea Is Hot LUIS’ LOOK COMPLEXION  Teint Idole Ultra Wear Foundation Teint Idole Ultra Wear All-Over Concealer Blush Subtil in 500 Pink Oh La La, 800 Orange Phoria EYES Lash Idôle Flutter Extension Mascara LIPS  Lip Idôle Juicy Treat in 00 Clear Ly Obsessed #Lancome #LoretoPeralta #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #BerryLips #PinkOhLaLa #PinkMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss","33","#MESSWITHLANCOME #Lancome #LoretoPeralta #LuisTorres #TimeToGetMessy #Makeup #Makeuptok #Beauty #BeautyTok #BerryBisou #BerryLips #PinkOhLaLa #PinkMakeup #EspressoLook #SummerMakeup #SummerBeauty #MakeupTutorial #GlossyLip #Gloss"
"7526858732349705494","https://www.tiktok.com/@lancome.official/video/7526858732349705494","Summer kisses, sweet as berries 💋🍓 Starring the new Lip Idôle JuicyTreat lip oil. #Lancome #LipIdole #JuicyTreat #Makeup #LipGloss #LipOil #Gloss #GlossyLip #Yummy #Juicy #Summer #SummerLook","27","#Lancome #LipIdole #JuicyTreat #Makeup #LipGloss #LipOil #Gloss #GlossyLip #Yummy #Juicy #Summer #SummerLook"
